 ,Area,Mean,Min,Max,X,Y
1,0,142,142,142,442.000,739.000
2,0,204,204,204,443.500,712.167
3,0,143,143,143,450.167,696.167
4,0,160,160,160,452.833,640.167
5,0,154,154,154,464.833,581.500
6,0,136,136,136,484.833,504.167
7,0,121,121,121,488.833,477.500
8,0,127,127,127,504.833,429.500
9,0,123,123,123,531.500,416.167
10,0,115,115,115,566.167,382.833
11,0,124,124,124,612.833,354.833
12,0,116,116,116,647.500,324.167
13,0,118,118,118,680.833,284.167
14,0,125,125,125,710.167,256.167
15,0,133,133,133,742.167,224.167
16,0,130,130,130,766.167,182.833
17,0,197,197,197,788.833,140.167
18,0,157,157,157,795.500,102.833
19,0,163,163,163,800.833,72.167
20,0,187,187,187,804.833,40.167
