 ,Area,Mean,Min,Max,X,Y
1,0,190,190,190,309.000,775.000
2,0,154,154,154,318.167,756.167
3,0,157,157,157,324.833,734.833
4,0,151,151,151,339.500,742.833
5,0,153,153,153,356.833,712.167
6,0,170,170,170,359.500,672.167
7,0,171,171,171,374.167,638.833
8,0,192,192,192,387.500,645.500
9,0,165,165,165,396.833,609.500
10,0,168,168,168,412.833,589.500
11,0,155,155,155,431.500,561.500
12,0,179,179,179,443.500,552.167
13,0,171,171,171,464.833,526.833
14,0,181,181,181,483.500,509.500
15,0,150,150,150,500.833,481.500
16,0,143,143,143,514.167,461.500
17,0,167,167,167,538.167,432.167
18,0,154,154,154,558.167,406.833
19,0,170,170,170,582.167,377.500
20,0,165,165,165,596.833,358.833
21,0,164,164,164,624.833,338.833
22,0,164,164,164,656.833,316.167
23,0,172,172,172,692.833,297.500
24,0,170,170,170,710.167,289.500
25,0,182,182,182,736.833,278.833
26,0,145,145,145,770.167,270.833
27,0,181,181,181,792.833,256.167
28,0,169,169,169,823.500,245.500
29,0,175,175,175,863.500,233.500
