 ,Area,Mean,Min,Max,X,Y
1,0,157,157,157,350.000,791.000
2,0,130,130,130,362.167,769.500
3,0,128,128,128,372.833,750.833
4,0,130,130,130,392.833,726.833
5,0,131,131,131,403.500,708.167
6,0,139,139,139,428.833,708.167
7,0,127,127,127,438.167,677.500
8,0,123,123,123,447.500,646.833
9,0,120,120,120,466.167,629.500
10,0,122,122,122,478.167,609.500
11,0,121,121,121,495.500,589.500
12,0,119,119,119,511.500,574.833
13,0,118,118,118,532.833,552.167
14,0,114,114,114,551.500,528.167
15,0,102,102,102,563.500,506.833
16,0,112,112,112,587.500,478.833
17,0,103,103,103,606.167,454.833
18,0,112,112,112,626.167,432.167
19,0,118,118,118,646.167,410.833
20,0,114,114,114,662.167,381.500
21,0,122,122,122,682.167,360.167
22,0,124,124,124,702.167,349.500
23,0,143,143,143,710.167,324.167
24,0,128,128,128,730.167,312.167
25,0,163,163,163,752.833,302.833
