 ,Area,Mean,Min,Max,X,Y
1,0,163,163,163,323.000,9.000
2,0,161,161,161,329.212,32.260
3,0,147,147,147,335.552,55.509
4,0,156,156,156,339.779,79.814
5,0,149,149,149,350.347,107.290
6,0,149,149,149,363.028,131.596
7,0,163,163,163,371.483,159.072
8,0,173,173,173,375.710,187.605
9,0,163,163,163,385.221,217.194
10,0,157,157,157,398.959,247.841
11,0,157,157,157,415.867,274.260
12,0,156,156,156,428.548,301.736
13,0,152,152,152,439.500,319.500
14,0,157,157,157,445.167,305.833
15,0,146,146,146,450.167,295.500
16,0,155,155,155,455.833,314.167
17,0,165,165,165,458.167,325.167
18,0,161,161,161,464.833,342.500
19,0,165,165,165,472.833,336.500
20,0,158,158,158,473.833,329.500
21,0,156,156,156,480.833,332.500
22,0,152,152,152,486.833,336.833
23,0,150,150,150,493.833,345.167
24,0,146,146,146,506.500,349.167
25,0,147,147,147,515.833,355.833
