 ,Area,Mean,Min,Max,X,Y
1,0,169,169,169,298.000,736.000
2,0,163,163,163,308.833,712.500
3,0,164,164,164,324.833,679.167
4,0,165,165,165,338.167,645.833
5,0,167,167,167,348.833,619.167
6,0,161,161,161,359.500,599.167
7,0,164,164,164,378.167,575.167
8,0,155,155,155,396.833,548.500
9,0,154,154,154,423.500,527.167
10,0,147,147,147,432.833,508.500
11,0,144,144,144,448.833,489.833
12,0,143,143,143,467.500,465.833
13,0,136,136,136,492.833,437.833
14,0,167,167,167,528.833,411.167
15,0,142,142,142,564.833,380.500
16,0,134,134,134,596.833,352.500
17,0,131,131,131,626.167,329.833
18,0,137,137,137,652.833,304.500
19,0,134,134,134,678.167,284.500
20,0,173,173,173,704.833,267.167
21,0,153,153,153,732.833,247.167
22,0,164,164,164,740.833,245.833
