 ,Area,Mean,Min,Max,X,Y
1,0,151,151,151,337.000,9.000
2,0,155,155,155,349.500,30.500
3,0,152,152,152,355.500,49.500
4,0,172,172,172,358.500,68.500
5,0,159,159,159,366.500,50.500
6,0,172,172,172,374.500,79.500
7,0,174,174,174,382.500,106.500
8,0,161,161,161,389.500,132.500
9,0,173,173,173,398.500,153.500
10,0,164,164,164,406.500,175.500
11,0,165,165,165,415.500,195.500
12,0,159,159,159,426.500,208.500
13,0,143,143,143,438.500,222.500
14,0,147,147,147,450.500,238.500
15,0,154,154,154,458.500,249.500
16,0,118,118,118,467.500,256.500
17,0,177,177,177,467.500,269.500
18,0,174,174,174,473.500,292.500
19,0,175,175,175,478.500,323.500
20,0,147,147,147,486.500,290.500
21,0,141,141,141,486.500,271.500
22,0,175,175,175,493.500,317.500
23,0,171,171,171,503.500,317.500
24,0,142,142,142,512.000,308.000
25,0,174,174,174,519.000,320.000
26,0,161,161,161,524.500,333.500
27,0,151,151,151,527.500,355.500
28,0,140,140,140,532.500,370.500
29,0,148,148,148,536.500,350.000
30,0,156,156,156,537.000,343.000
31,0,154,154,154,544.000,363.500
32,0,149,149,149,545.500,381.000
33,0,185,185,185,546.500,401.500
34,0,164,164,164,552.500,421.000
35,0,164,164,164,558.000,438.000
36,0,187,187,187,563.500,421.500
37,0,144,144,144,564.500,405.000
38,0,141,141,141,565.500,397.000
39,0,147,147,147,568.500,385.500
40,0,142,142,142,575.000,407.000
41,0,155,155,155,579.000,435.000
42,0,161,161,161,580.500,452.500
43,0,174,174,174,585.500,426.000
44,0,154,154,154,586.000,407.500
45,0,144,144,144,586.000,396.500
46,0,152,152,152,593.500,424.500
47,0,167,167,167,593.500,444.000
48,0,165,165,165,598.500,458.000
49,0,162,162,162,599.000,438.000
50,0,171,171,171,604.500,426.000
51,0,176,176,176,604.500,410.500
52,0,175,175,175,613.000,446.000
53,0,160,160,160,616.000,462.000
54,0,164,164,164,620.000,475.000
55,0,146,146,146,629.000,479.000
56,0,149,149,149,634.000,490.500
