 ,Area,Mean,Min,Max,X,Y
1,0,203,203,203,46.000,756.000
2,0,205,205,205,55.500,727.500
3,0,209,209,209,70.500,687.500
4,0,211,211,211,83.500,658.500
5,0,207,207,207,99.500,627.500
6,0,211,211,211,112.500,598.500
7,0,213,213,213,126.500,573.500
8,0,200,200,200,136.500,541.500
9,0,202,202,202,149.500,514.500
10,0,195,195,195,161.500,482.500
11,0,199,199,199,176.500,460.500
12,0,193,193,193,188.500,433.500
13,0,197,197,197,208.500,412.500
14,0,200,200,200,220.500,388.500
15,0,199,199,199,230.500,366.500
16,0,200,200,200,254.500,340.500
17,0,204,204,204,266.500,327.500
18,0,205,205,205,283.500,305.500
19,0,205,205,205,298.500,285.500
20,0,206,206,206,315.500,264.500
21,0,209,209,209,338.500,247.500
22,0,213,213,213,355.500,232.500
23,0,213,213,213,374.500,217.500
24,0,211,211,211,392.500,207.500
25,0,224,224,224,408.500,192.500
26,0,215,215,215,427.500,181.500
27,0,210,210,210,444.500,166.500
28,0,212,212,212,466.500,151.500
29,0,211,211,211,487.500,135.500
30,0,213,213,213,508.500,125.500
31,0,219,219,219,523.500,115.500
32,0,218,218,218,533.500,100.500
33,0,214,214,214,550.500,79.500
34,0,215,215,215,568.500,67.500
35,0,215,215,215,577.500,54.500
36,0,208,208,208,592.500,44.500
37,0,194,194,194,607.500,32.500
