 ,Area,Mean,Min,Max,X,Y
1,0,197,197,197,18.000,573.000
2,0,191,191,191,42.167,536.167
3,0,189,189,189,58.167,510.833
4,0,186,186,186,66.167,492.167
5,0,189,189,189,79.500,457.500
6,0,184,184,184,96.833,418.833
7,0,179,179,179,114.167,380.167
8,0,185,185,185,124.833,348.167
9,0,184,184,184,130.167,322.833
10,0,202,202,202,164.833,286.833
11,0,204,204,204,178.167,266.833
12,0,206,206,206,196.833,240.167
13,0,207,207,207,210.167,218.833
14,0,204,204,204,230.167,186.833
15,0,210,210,210,242.167,169.500
16,0,208,208,208,254.167,149.500
17,0,203,203,203,275.500,116.167
18,0,214,214,214,288.833,98.833
19,0,209,209,209,312.833,69.500
20,0,211,211,211,323.500,53.500
21,0,212,212,212,339.500,37.500
