 ,Area,Mean,Min,Max,X,Y
1,0,208,208,208,259.000,743.000
2,0,229,229,229,266.500,544.500
3,0,168,168,168,263.500,343.500
4,0,168,168,168,269.500,258.500
5,0,195,195,195,274.500,125.500
6,0,203,203,203,272.500,75.500
7,0,192,192,192,276.500,49.500
8,0,205,205,205,276.500,35.500
9,0,206,206,206,276.500,29.500
