 ,Area,Mean,Min,Max,X,Y
1,0,216,216,216,20.000,622.000
2,0,224,224,224,22.167,612.833
3,0,111,111,111,25.500,598.833
4,0,138,138,138,26.167,584.167
5,0,123,123,123,26.833,564.833
6,0,128,128,128,28.167,536.167
7,0,128,128,128,28.833,515.500
8,0,122,122,122,30.167,493.500
9,0,151,151,151,29.500,482.167
10,0,136,136,136,30.833,467.500
11,0,129,129,129,32.167,453.500
12,0,136,136,136,31.500,436.833
13,0,223,223,223,30.833,418.833
14,0,135,135,135,33.500,404.167
15,0,135,135,135,33.500,390.833
16,0,135,135,135,34.167,367.500
17,0,135,135,135,34.833,352.167
18,0,135,135,135,34.833,342.833
19,0,128,128,128,35.500,326.167
20,0,222,222,222,34.833,313.500
21,0,181,181,181,36.167,297.500
22,0,136,136,136,36.833,282.833
23,0,207,207,207,36.833,268.167
24,0,136,136,136,37.500,252.167
25,0,134,134,134,38.833,234.833
26,0,136,136,136,39.500,218.167
27,0,130,130,130,40.167,202.833
28,0,124,124,124,41.500,188.833
29,0,124,124,124,41.500,173.500
30,0,124,124,124,41.500,159.500
31,0,127,127,127,41.500,146.167
32,0,117,117,117,42.833,132.833
33,0,124,124,124,42.833,121.500
34,0,103,103,103,43.500,104.167
35,0,115,115,115,44.167,94.167
36,0,81,81,81,44.833,82.833
37,0,143,143,143,44.833,74.833
38,0,119,119,119,46.167,61.500
39,0,73,73,73,48.833,52.167
40,0,176,176,176,263.500,602.167
41,0,202,202,202,264.833,590.167
42,0,142,142,142,264.833,577.500
43,0,135,135,135,265.500,562.167
44,0,144,144,144,266.167,548.167
45,0,123,123,123,267.500,536.833
46,0,122,122,122,267.500,522.167
47,0,128,128,128,267.500,512.167
48,0,128,128,128,267.500,495.500
49,0,142,142,142,268.167,484.833
50,0,122,122,122,269.500,474.167
51,0,135,135,135,268.833,462.167
52,0,159,159,159,268.833,451.500
53,0,129,129,129,269.500,441.500
54,0,136,136,136,269.500,426.833
55,0,128,128,128,270.833,416.833
56,0,129,129,129,270.833,402.833
57,0,128,128,128,271.500,392.167
58,0,128,128,128,272.167,380.500
59,0,129,129,129,271.500,367.833
60,0,153,153,153,271.500,354.500
61,0,128,128,128,272.833,343.167
62,0,128,128,128,272.833,326.500
63,0,123,123,123,273.500,313.167
64,0,129,129,129,273.500,298.500
65,0,128,128,128,274.167,286.500
66,0,123,123,123,274.833,274.500
67,0,128,128,128,274.833,258.500
68,0,123,123,123,276.167,244.500
69,0,128,128,128,276.167,228.500
70,0,121,121,121,276.833,213.833
71,0,121,121,121,276.833,201.167
72,0,117,117,117,277.500,187.167
73,0,121,121,121,277.500,172.500
74,0,139,139,139,277.500,160.500
75,0,110,110,110,279.500,145.833
76,0,110,110,110,279.500,128.500
77,0,110,110,110,280.167,114.500
78,0,76,76,76,280.833,97.167
79,0,216,216,216,280.833,78.500
80,0,195,195,195,282.167,62.500
81,0,206,206,206,282.833,47.167
82,0,74,74,74,285.500,31.833
83,0,116,116,116,288.833,21.833
84,0,179,179,179,582.833,602.833
85,0,105,105,105,584.833,595.500
86,0,113,113,113,585.500,580.833
87,0,121,121,121,586.833,568.833
88,0,113,113,113,588.167,556.833
89,0,122,122,122,587.500,541.500
90,0,118,118,118,588.833,529.500
91,0,119,119,119,588.833,510.833
92,0,119,119,119,589.500,495.500
93,0,117,117,117,590.833,480.167
94,0,128,128,128,590.833,466.167
95,0,124,124,124,591.500,450.167
96,0,126,126,126,591.500,436.167
97,0,131,131,131,592.167,421.500
98,0,162,162,162,592.167,408.167
99,0,125,125,125,592.833,391.500
100,0,124,124,124,593.500,374.167
101,0,128,128,128,593.500,355.500
102,0,162,162,162,593.500,341.500
103,0,210,210,210,594.167,325.500
104,0,164,164,164,594.833,309.500
105,0,122,122,122,595.500,293.500
106,0,115,115,115,596.833,277.500
107,0,122,122,122,596.833,262.833
108,0,122,122,122,597.500,242.167
109,0,127,127,127,598.167,223.500
110,0,117,117,117,599.500,206.167
111,0,117,117,117,599.500,187.500
112,0,117,117,117,599.500,167.500
113,0,111,111,111,600.833,150.167
114,0,103,103,103,602.167,131.500
115,0,103,103,103,601.500,113.500
116,0,76,76,76,603.500,94.833
117,0,95,95,95,603.500,76.833
118,0,169,169,169,604.167,60.833
119,0,81,81,81,605.500,48.833
120,0,102,102,102,606.167,37.500
121,0,139,139,139,607.500,27.500
122,0,184,184,184,743.500,614.500
123,0,157,157,157,746.167,601.833
124,0,179,179,179,746.833,584.500
125,0,174,174,174,748.167,567.167
126,0,129,129,129,747.500,553.833
127,0,134,134,134,748.833,540.500
128,0,128,128,128,749.500,525.167
129,0,135,135,135,750.167,509.167
130,0,122,122,122,750.167,491.167
131,0,135,135,135,750.833,472.500
132,0,135,135,135,751.500,457.833
133,0,128,128,128,751.500,441.167
134,0,135,135,135,751.500,422.500
135,0,128,128,128,752.833,408.500
136,0,129,129,129,752.833,389.833
137,0,125,125,125,753.500,373.167
138,0,125,125,125,753.500,357.833
139,0,128,128,128,754.167,343.167
140,0,118,118,118,754.833,327.167
141,0,112,112,112,755.500,309.833
142,0,112,112,112,756.167,299.167
143,0,125,125,125,755.500,285.500
144,0,121,121,121,756.167,269.500
145,0,118,118,118,756.833,253.500
146,0,121,121,121,756.833,235.500
147,0,177,177,177,756.833,218.833
148,0,122,122,122,757.500,202.833
149,0,110,110,110,759.500,185.500
150,0,122,122,122,758.833,166.167
151,0,103,103,103,760.167,147.500
152,0,123,123,123,760.167,133.500
153,0,97,97,97,760.833,117.500
154,0,76,76,76,762.167,103.500
155,0,99,99,99,762.167,90.167
156,0,103,103,103,762.167,74.167
157,0,69,69,69,762.833,59.500
158,0,75,75,75,764.167,44.833
159,0,68,68,68,764.833,30.833
160,0,157,157,157,765.500,20.167
