 ,Area,Mean,Min,Max,X,Y
1,0,202,202,202,13.000,379.000
2,0,208,208,208,23.500,354.500
3,0,210,210,210,37.500,327.500
4,0,213,213,213,48.500,302.500
5,0,215,215,215,66.500,278.500
6,0,217,217,217,87.500,251.500
7,0,220,220,220,105.500,228.500
8,0,219,219,219,120.500,208.500
9,0,220,220,220,144.500,192.500
10,0,222,222,222,173.500,171.500
11,0,221,221,221,201.500,153.500
12,0,219,219,219,224.500,139.500
13,0,223,223,223,244.500,127.500
14,0,221,221,221,274.500,113.500
15,0,223,223,223,305.500,96.500
16,0,220,220,220,336.500,82.500
17,0,219,219,219,355.500,73.500
18,0,214,214,214,379.500,56.500
19,0,217,217,217,397.500,50.500
20,0,206,206,206,420.500,34.500
21,0,207,207,207,426.500,31.500
