 ,Area,Mean,Min,Max,X,Y
1,0,197,197,197,25.000,322.000
2,0,200,200,200,48.833,305.167
3,0,201,201,201,84.833,283.833
4,0,210,210,210,112.833,267.833
5,0,211,211,211,134.167,246.500
6,0,212,212,212,158.167,231.833
7,0,215,215,215,191.500,209.167
8,0,217,217,217,210.167,187.833
9,0,223,223,223,240.833,166.500
10,0,220,220,220,270.167,145.167
11,0,224,224,224,303.500,127.833
12,0,224,224,224,334.167,111.833
13,0,225,225,225,356.833,99.833
14,0,221,221,221,387.500,77.167
15,0,223,223,223,416.833,63.833
16,0,218,218,218,452.833,45.167
17,0,222,222,222,482.167,34.500
18,0,217,217,217,507.500,22.500
19,0,216,216,216,519.500,19.833
