 ,Area,Mean,Min,Max,X,Y
1,0,176,176,176,345.000,16.000
2,0,169,169,169,348.500,45.500
3,0,169,169,169,353.500,75.500
4,0,172,172,172,360.500,103.500
5,0,175,175,175,367.500,134.500
6,0,155,155,155,372.500,159.500
7,0,178,178,178,373.500,191.500
8,0,169,169,169,377.500,208.500
9,0,163,163,163,390.500,206.500
10,0,157,157,157,391.500,220.500
11,0,155,155,155,392.500,234.500
12,0,145,145,145,397.500,262.500
13,0,156,156,156,407.500,242.500
14,0,149,149,149,426.500,256.500
15,0,142,142,142,435.500,276.500
16,0,146,146,146,452.500,290.500
17,0,153,153,153,468.500,304.500
18,0,184,184,184,487.500,330.500
19,0,155,155,155,505.500,317.500
20,0,163,163,163,516.500,292.500
21,0,164,164,164,523.500,278.500
22,0,176,176,176,541.500,278.500
23,0,132,132,132,544.500,295.500
24,0,156,156,156,554.500,310.500
25,0,185,185,185,571.500,325.500
