 ,Area,Mean,Min,Max,X,Y
1,0,165,165,165,340.000,14.000
2,0,175,175,175,344.167,31.500
3,0,181,181,181,344.167,55.500
4,0,182,182,182,346.167,80.833
5,0,177,177,177,354.833,79.500
6,0,209,209,209,362.167,80.833
7,0,194,194,194,364.167,99.500
8,0,194,194,194,366.167,119.500
9,0,183,183,183,366.167,137.500
10,0,196,196,196,367.500,156.167
11,0,169,169,169,367.500,169.500
12,0,182,182,182,367.500,182.833
13,0,154,154,154,368.833,199.500
14,0,170,170,170,368.833,218.167
15,0,166,166,166,369.500,234.167
16,0,162,162,162,380.833,220.833
17,0,173,173,173,388.833,234.167
18,0,166,166,166,388.833,253.500
19,0,179,179,179,398.167,232.167
20,0,163,163,163,406.167,246.167
21,0,170,170,170,404.500,258.500
22,0,166,166,166,404.167,270.500
23,0,167,167,167,408.167,271.500
24,0,165,165,165,411.167,278.167
25,0,151,151,151,413.167,285.833
26,0,162,162,162,415.500,296.833
27,0,167,167,167,417.167,286.167
28,0,166,166,166,417.833,278.167
29,0,168,168,168,421.833,269.500
30,0,176,176,176,427.167,274.500
31,0,164,164,164,428.833,283.833
32,0,166,166,166,432.833,268.833
33,0,176,176,176,433.833,252.500
34,0,181,181,181,433.833,241.833
35,0,178,178,178,436.833,234.500
