 ,Area,Mean,Min,Max,X,Y
1,0,191,191,191,188.000,754.000
2,0,176,176,176,199.500,726.500
3,0,188,188,188,214.167,693.167
4,0,192,192,192,234.167,651.833
5,0,182,182,182,268.833,577.167
6,0,174,174,174,291.500,514.500
7,0,170,170,170,310.167,473.167
8,0,171,171,171,330.167,446.500
9,0,167,167,167,350.167,425.167
10,0,171,171,171,371.500,395.833
11,0,163,163,163,392.833,367.833
12,0,175,175,175,418.167,341.167
13,0,181,181,181,466.167,294.500
14,0,191,191,191,499.500,271.833
15,0,190,190,190,534.167,242.500
16,0,203,203,203,568.833,202.500
17,0,209,209,209,595.500,183.833
18,0,193,193,193,631.500,157.167
19,0,202,202,202,668.833,122.500
20,0,196,196,196,691.500,98.500
21,0,201,201,201,720.833,66.500
22,0,198,198,198,743.500,41.167
23,0,203,203,203,760.833,17.167
