 ,Area,Mean,Min,Max,X,Y
1,0,170,170,170,330.000,9.000
2,0,151,151,151,338.723,30.146
3,0,147,147,147,345.833,52.833
4,0,214,214,214,349.833,70.167
5,0,159,159,159,356.500,96.500
6,0,157,157,157,367.500,124.500
7,0,167,167,167,372.500,150.500
8,0,188,188,188,385.500,178.500
9,0,158,158,158,399.500,209.500
10,0,160,160,160,408.500,232.500
11,0,159,159,159,414.500,254.500
12,0,154,154,154,424.500,278.500
13,0,159,159,159,434.500,295.500
14,0,160,160,160,448.500,270.500
15,0,149,149,149,453.500,289.500
16,0,152,152,152,463.500,313.500
17,0,150,150,150,482.500,314.500
18,0,148,148,148,500.500,321.500
19,0,154,154,154,521.500,336.500
20,0,167,167,167,517.500,302.500
21,0,166,166,166,509.500,261.500
22,0,172,172,172,509.500,239.500
