 ,Area,X,Y
1,0,838.000,16.000
2,0,763.500,15.500
3,0,718.500,16.500
4,0,668.500,14.500
5,0,616.500,14.500
6,0,569.500,15.500
7,0,529.500,13.500
8,0,505.500,14.500
9,0,470.500,15.500
10,0,447.500,15.500
11,0,423.500,14.500
12,0,404.500,13.500
