 ,Area,Mean,Min,Max,X,Y
1,0,199,199,199,19.000,745.000
2,0,198,198,198,27.326,724.444
3,0,195,195,195,43.379,693.407
4,0,188,188,188,55.152,672.003
5,0,190,190,190,64.784,653.809
6,0,188,188,188,77.626,623.843
7,0,183,183,183,97.961,599.228
8,0,176,176,176,112.944,576.753
9,0,181,181,181,127.927,551.067
10,0,183,183,183,151.472,531.803
11,0,182,182,182,168.596,501.837
12,0,177,177,177,184.649,475.081
13,0,182,182,182,201.772,453.677
14,0,177,177,177,217.826,419.430
15,0,182,182,182,236.020,393.744
16,0,191,191,191,255.284,371.270
17,0,197,197,197,282.039,337.022
18,0,206,206,206,305.584,305.986
19,0,206,206,206,319.497,285.652
20,0,211,211,211,338.761,268.528
21,0,211,211,211,355.885,236.421
22,0,211,211,211,373.008,217.157
23,0,211,211,211,387.992,190.402
24,0,217,217,217,411.537,164.716
25,0,216,216,216,439.362,141.171
26,0,216,216,216,473.610,122.978
27,0,211,211,211,515.348,93.011
28,0,175,175,175,549.596,66.256
29,0,179,179,179,591.334,34.149
30,0,167,167,167,604.177,27.728
31,0,168,168,168,575.281,43.781
32,0,196,196,196,544.244,69.466
33,0,208,208,208,504.646,102.643
