 ,Area,Mean,Min,Max,X,Y
1,0,192,192,192,25.000,464.000
2,0,191,191,191,54.167,438.500
3,0,188,188,188,76.833,410.500
4,0,189,189,189,107.500,383.833
5,0,191,191,191,139.500,355.833
6,0,191,191,191,183.500,318.500
7,0,194,194,194,168.833,327.833
8,0,201,201,201,214.167,289.167
9,0,217,217,217,250.167,255.833
10,0,211,211,211,271.500,230.500
11,0,217,217,217,294.167,218.500
12,0,212,212,212,328.833,197.167
13,0,217,217,217,360.833,171.833
14,0,231,231,231,398.167,145.167
15,0,221,221,221,434.167,119.833
16,0,218,218,218,462.167,99.833
17,0,221,221,221,499.500,74.500
18,0,221,221,221,524.833,58.500
19,0,218,218,218,548.833,42.500
20,0,219,219,219,574.167,27.833
