 ,Area,Mean,Min,Max,X,Y
1,0,206,206,206,13.000,431.000
2,0,208,208,208,24.833,401.500
3,0,210,210,210,39.500,380.167
4,0,212,212,212,58.167,353.500
5,0,211,211,211,88.833,322.833
6,0,219,219,219,114.167,298.833
7,0,220,220,220,123.500,269.500
8,0,224,224,224,155.500,234.833
9,0,225,225,225,142.167,245.500
10,0,223,223,223,176.833,216.167
11,0,230,230,230,203.500,200.167
12,0,228,228,228,228.833,174.833
13,0,230,230,230,259.500,160.167
14,0,228,228,228,291.500,136.167
15,0,228,228,228,314.167,120.167
16,0,231,231,231,334.167,112.167
17,0,226,226,226,362.167,102.833
18,0,225,225,225,380.833,82.833
19,0,226,226,226,402.167,68.167
20,0,222,222,222,426.167,53.500
21,0,226,226,226,444.833,44.167
22,0,223,223,223,459.500,34.833
23,0,218,218,218,472.833,22.833
