 ,Area,X,Y
1,0,551.000,17.000
2,0,518.500,18.500
3,0,490.500,19.500
4,0,459.500,21.500
5,0,426.500,20.500
6,0,402.500,21.500
7,0,383.500,19.500
8,0,351.500,20.500
9,0,324.500,18.500
10,0,293.500,17.500
11,0,269.500,21.500
12,0,242.500,18.500
13,0,214.500,17.500
14,0,196.500,18.500
15,0,171.500,19.500
