 ,Area,Mean,Min,Max,X,Y
1,0,125,125,125,72.500,477.000
2,0,163,163,163,73.167,469.333
3,0,124,124,124,73.500,464.500
4,0,131,131,131,74.500,456.000
5,0,126,126,126,75.000,448.333
6,0,134,134,134,75.667,434.000
7,0,135,135,135,76.667,424.500
8,0,140,140,140,77.500,414.333
9,0,133,133,133,77.667,406.667
10,0,135,135,135,78.500,399.333
11,0,135,135,135,78.667,392.500
12,0,134,134,134,79.500,384.500
13,0,138,138,138,79.667,375.667
14,0,141,141,141,80.833,367.500
15,0,140,140,140,81.667,360.833
16,0,173,173,173,82.333,353.167
17,0,198,198,198,82.333,346.667
18,0,147,147,147,83.667,337.333
19,0,145,145,145,85.000,328.167
20,0,160,160,160,86.333,318.500
21,0,148,148,148,87.500,310.500
22,0,147,147,147,88.833,302.000
23,0,149,149,149,89.667,296.167
24,0,135,135,135,90.667,288.500
25,0,193,193,193,91.167,280.833
26,0,140,140,140,92.667,274.500
27,0,143,143,143,93.500,267.667
28,0,207,207,207,94.333,258.833
29,0,141,141,141,95.500,253.000
30,0,150,150,150,98.000,239.500
31,0,215,215,215,98.333,231.000
32,0,173,173,173,99.667,223.833
33,0,146,146,146,101.500,217.167
34,0,188,188,188,103.333,206.667
35,0,139,139,139,105.500,197.167
36,0,213,213,213,107.333,185.333
37,0,141,141,141,110.667,172.333
38,0,180,180,180,112.333,163.167
39,0,144,144,144,113.667,156.667
40,0,195,195,195,115.333,150.000
41,0,132,132,132,118.000,142.500
42,0,141,141,141,119.833,135.333
43,0,159,159,159,121.833,127.500
44,0,154,154,154,123.500,119.500
45,0,204,204,204,125.167,112.000
46,0,214,214,214,127.333,104.167
47,0,136,136,136,129.833,98.167
48,0,137,137,137,131.500,93.167
49,0,152,152,152,133.500,86.167
50,0,149,149,149,135.667,80.167
51,0,227,227,227,137.167,71.333
52,0,168,168,168,140.000,66.000
53,0,158,158,158,142.833,59.167
54,0,169,169,169,145.500,52.000
55,0,141,141,141,148.833,47.000
56,0,184,184,184,151.000,41.167
57,0,170,170,170,154.167,35.833
58,0,164,164,164,157.667,29.667
59,0,182,182,182,160.500,25.333
60,0,163,163,163,163.833,20.500
61,0,201,201,201,168.500,14.333
62,0,124,124,124,289.500,485.000
63,0,124,124,124,290.500,472.500
64,0,126,126,126,291.500,460.500
65,0,181,181,181,292.000,454.000
66,0,153,153,153,292.750,444.250
67,0,143,143,143,294.500,431.750
68,0,141,141,141,295.500,420.750
69,0,135,135,135,295.500,413.500
70,0,139,139,139,296.500,405.750
71,0,144,144,144,297.750,399.750
72,0,155,155,155,298.000,390.000
73,0,143,143,143,298.750,383.500
74,0,146,146,146,300.000,374.000
75,0,147,147,147,301.500,366.000
76,0,191,191,191,302.250,357.750
77,0,145,145,145,304.500,346.750
78,0,143,143,143,306.750,334.250
79,0,147,147,147,309.750,320.750
80,0,139,139,139,312.500,308.250
81,0,169,169,169,314.750,294.250
82,0,148,148,148,317.500,283.000
83,0,180,180,180,319.750,268.500
84,0,149,149,149,323.750,256.250
85,0,145,145,145,326.500,241.000
86,0,144,144,144,330.000,227.500
87,0,138,138,138,333.500,214.750
88,0,142,142,142,337.500,200.750
89,0,145,145,145,342.750,185.000
90,0,149,149,149,347.250,171.750
91,0,209,209,209,351.250,158.000
92,0,148,148,148,356.000,146.250
93,0,213,213,213,359.250,134.250
94,0,136,136,136,364.750,122.250
95,0,155,155,155,368.750,109.500
96,0,174,174,174,374.250,96.000
97,0,155,155,155,379.500,83.250
98,0,151,151,151,385.750,68.750
99,0,173,173,173,393.250,55.500
100,0,190,190,190,401.000,44.750
101,0,166,166,166,413.500,35.750
102,0,191,191,191,427.500,32.750
103,0,199,199,199,439.000,34.500
104,0,223,223,223,452.250,34.500
105,0,216,216,216,459.500,35.000
