 ,Area,Mean,Min,Max,X,Y
1,0,151,151,151,22.000,555.000
2,0,203,203,203,22.500,547.500
3,0,203,203,203,22.500,538.167
4,0,207,207,207,22.500,528.833
5,0,203,203,203,23.833,518.167
6,0,203,203,203,23.833,506.833
7,0,205,205,205,23.833,498.167
8,0,201,201,201,24.500,488.833
9,0,201,201,201,24.500,477.500
10,0,201,201,201,24.500,469.500
11,0,166,166,166,25.167,459.500
12,0,201,201,201,25.833,446.833
13,0,201,201,201,25.833,440.167
14,0,200,200,200,26.500,434.833
15,0,200,200,200,26.500,426.167
16,0,201,201,201,27.167,416.833
17,0,201,201,201,27.167,408.833
18,0,196,196,196,27.167,398.833
19,0,123,123,123,27.167,390.167
20,0,200,200,200,27.833,381.500
21,0,201,201,201,27.833,375.500
22,0,200,200,200,28.500,364.833
23,0,201,201,201,29.167,353.500
24,0,201,201,201,29.167,345.500
25,0,153,153,153,29.167,334.833
26,0,206,206,206,29.833,326.167
27,0,206,206,206,29.833,314.167
28,0,206,206,206,31.167,304.167
29,0,206,206,206,30.500,294.833
30,0,195,195,195,31.167,287.500
31,0,110,110,110,31.167,274.833
32,0,169,169,169,31.833,262.167
33,0,206,206,206,32.500,253.500
34,0,202,202,202,33.833,242.167
35,0,206,206,206,34.500,234.833
36,0,217,217,217,35.167,224.167
37,0,225,225,225,466.500,554.833
38,0,219,219,219,466.500,546.167
39,0,218,218,218,467.833,536.167
40,0,203,203,203,468.500,526.167
41,0,193,193,193,468.500,509.500
42,0,198,198,198,469.167,499.500
43,0,203,203,203,469.167,488.833
44,0,204,204,204,468.500,479.500
45,0,185,185,185,469.167,468.833
46,0,204,204,204,469.833,458.167
47,0,199,199,199,469.833,444.833
48,0,197,197,197,469.833,436.167
49,0,191,191,191,470.500,425.500
50,0,192,192,192,470.500,415.500
51,0,173,173,173,471.167,402.167
52,0,225,225,225,471.833,391.500
53,0,203,203,203,471.833,382.167
54,0,199,199,199,471.833,370.167
55,0,189,189,189,472.500,358.167
56,0,216,216,216,472.500,347.500
57,0,154,154,154,473.167,336.833
58,0,157,157,157,474.500,328.167
59,0,155,155,155,474.500,316.167
60,0,156,156,156,475.167,305.500
61,0,146,146,146,475.167,292.833
62,0,160,160,160,475.833,281.500
63,0,160,160,160,475.833,270.167
64,0,166,166,166,476.500,260.833
65,0,159,159,159,476.500,250.167
66,0,155,155,155,476.500,242.167
67,0,203,203,203,477.167,234.833
68,0,160,160,160,477.833,226.833
69,0,196,196,196,477.833,216.167
70,0,219,219,219,755.833,556.167
71,0,210,210,210,755.833,548.833
72,0,220,220,220,756.500,539.500
73,0,215,215,215,756.500,529.500
74,0,218,218,218,756.500,516.833
75,0,214,214,214,756.500,506.833
76,0,138,138,138,757.167,494.167
77,0,219,219,219,757.833,480.833
78,0,201,201,201,758.500,466.833
79,0,210,210,210,759.167,452.167
80,0,200,200,200,759.167,434.167
81,0,225,225,225,759.833,421.500
82,0,210,210,210,760.500,402.167
83,0,185,185,185,760.500,383.500
84,0,193,193,193,761.167,370.167
85,0,191,191,191,761.833,357.500
86,0,223,223,223,763.167,340.167
87,0,226,226,226,763.167,324.167
88,0,225,225,225,763.833,308.167
89,0,202,202,202,763.833,290.167
90,0,224,224,224,765.167,276.167
91,0,197,197,197,765.167,262.167
92,0,225,225,225,765.833,248.167
93,0,197,197,197,765.833,233.500
94,0,192,192,192,767.167,222.833
