 ,Area,Mean,Min,Max,X,Y,Slice
1,0,194,194,194,216.000,737.000,1
2,0,184,184,184,215.500,739.500,4
3,0,183,183,183,216.500,723.500,4
4,0,207,207,207,218.500,708.500,4
5,0,207,207,207,219.500,688.500,4
6,0,209,209,209,219.500,662.500,4
7,0,204,204,204,220.500,638.500,4
8,0,216,216,216,222.500,619.500,4
9,0,223,223,223,222.500,598.500,4
10,0,211,211,211,223.500,575.500,4
11,0,210,210,210,224.500,555.500,4
12,0,218,218,218,225.500,529.500,4
13,0,224,224,224,226.500,503.500,4
14,0,211,211,211,227.500,481.500,4
15,0,220,220,220,228.500,456.500,4
16,0,214,214,214,229.500,427.500,4
17,0,212,212,212,230.500,402.500,4
18,0,214,214,214,232.500,377.500,4
19,0,213,213,213,232.500,353.500,4
20,0,215,215,215,234.500,331.500,4
21,0,185,185,185,234.500,303.500,4
22,0,215,215,215,236.500,281.500,4
23,0,214,214,214,238.500,260.500,4
24,0,203,203,203,240.500,245.500,4
25,0,202,202,202,416.500,733.500,4
26,0,204,204,204,417.500,716.500,4
27,0,204,204,204,418.500,695.500,4
28,0,210,210,210,419.500,676.500,4
29,0,217,217,217,420.500,654.500,4
30,0,218,218,218,421.500,633.500,4
31,0,213,213,213,421.500,613.500,4
32,0,217,217,217,422.500,591.500,4
33,0,218,218,218,423.500,569.500,4
34,0,220,220,220,424.500,548.500,4
35,0,216,216,216,424.500,523.500,4
36,0,216,216,216,425.500,500.500,4
37,0,216,216,216,426.500,479.500,4
38,0,208,208,208,426.500,451.500,4
39,0,208,208,208,427.500,431.500,4
40,0,215,215,215,428.500,409.500,4
41,0,215,215,215,429.500,387.500,4
42,0,215,215,215,430.500,361.500,4
43,0,215,215,215,431.500,336.500,4
44,0,215,215,215,431.500,315.500,4
45,0,222,222,222,432.500,295.500,4
46,0,212,212,212,434.500,275.500,4
47,0,211,211,211,435.500,251.500,4
48,0,211,211,211,437.500,234.500,4
49,0,167,167,167,437.500,226.500,4
50,0,213,213,213,646.500,731.500,4
51,0,143,143,143,646.500,714.500,4
52,0,223,223,223,649.500,688.500,4
53,0,205,205,205,650.500,661.500,4
54,0,212,212,212,652.500,626.500,4
55,0,213,213,213,652.500,597.500,4
56,0,215,215,215,653.500,572.500,4
57,0,212,212,212,654.500,546.500,4
58,0,212,212,212,655.500,517.500,4
59,0,208,208,208,656.500,484.500,4
60,0,215,215,215,657.500,459.500,4
61,0,205,205,205,657.500,432.500,4
62,0,205,205,205,658.500,400.500,4
63,0,210,210,210,660.500,364.500,4
64,0,210,210,210,662.500,328.500,4
65,0,212,212,212,662.500,297.500,4
66,0,192,192,192,664.500,264.500,4
67,0,202,202,202,666.500,239.500,4
68,0,169,169,169,994.500,680.500,4
69,0,212,212,212,996.500,662.500,4
70,0,216,216,216,997.500,639.500,4
71,0,208,208,208,997.500,618.500,4
72,0,209,209,209,998.500,598.500,4
73,0,209,209,209,998.500,580.500,4
74,0,204,204,204,1000.500,563.500,4
75,0,209,209,209,1000.500,551.500,4
76,0,208,208,208,1001.500,536.500,4
77,0,209,209,209,1001.500,522.500,4
78,0,203,203,203,1001.500,512.500,4
79,0,216,216,216,1001.500,496.500,4
80,0,202,202,202,1001.500,481.500,4
81,0,190,190,190,1002.500,467.500,4
82,0,203,203,203,1002.500,450.500,4
83,0,197,197,197,1003.500,433.500,4
84,0,208,208,208,1003.500,419.500,4
85,0,204,204,204,1004.500,406.500,4
86,0,213,213,213,1004.500,392.500,4
87,0,206,206,206,1005.500,379.500,4
88,0,213,213,213,1005.500,360.500,4
89,0,211,211,211,1006.500,346.500,4
90,0,197,197,197,1007.500,333.500,4
91,0,208,208,208,1007.500,315.500,4
92,0,210,210,210,1008.500,299.500,4
93,0,210,210,210,1009.500,280.500,4
94,0,195,195,195,1009.500,263.500,4
95,0,190,190,190,1011.500,250.500,4
96,0,175,175,175,1011.500,236.500,4
97,0,216,216,216,1215.500,715.500,4
98,0,209,209,209,1215.500,692.500,4
99,0,209,209,209,1216.500,669.500,4
100,0,197,197,197,1217.500,644.500,4
101,0,217,217,217,1219.500,624.500,4
102,0,202,202,202,1219.500,611.500,4
103,0,150,150,150,1219.500,596.500,4
104,0,202,202,202,1221.500,581.500,4
105,0,202,202,202,1221.500,563.500,4
106,0,200,200,200,1221.500,547.500,4
107,0,202,202,202,1222.500,531.500,4
108,0,224,224,224,1223.500,515.500,4
109,0,209,209,209,1223.500,499.500,4
110,0,205,205,205,1223.500,482.500,4
111,0,210,210,210,1224.500,462.500,4
112,0,205,205,205,1224.500,441.500,4
113,0,210,210,210,1225.500,425.500,4
114,0,211,211,211,1225.500,403.500,4
115,0,226,226,226,1226.500,386.500,4
116,0,203,203,203,1226.500,369.500,4
117,0,226,226,226,1228.500,350.500,4
118,0,224,224,224,1228.500,330.500,4
119,0,154,154,154,1228.500,310.500,4
120,0,183,183,183,1230.500,289.500,4
121,0,202,202,202,1231.500,272.500,4
122,0,222,222,222,1231.500,252.500,4
123,0,164,164,164,1232.500,242.500,4
