 ,Area,Mean,Min,Max,X,Y,Slice
1,0,199,199,199,17.000,471.500,4
2,0,190,190,190,19.500,460.000,4
3,0,128,128,128,21.500,445.000,4
4,0,157,157,157,21.500,428.000,4
5,0,130,130,130,22.500,415.000,4
6,0,129,129,129,23.500,399.000,4
7,0,126,126,126,24.500,384.000,4
8,0,124,124,124,25.500,363.000,4
9,0,122,122,122,26.500,339.000,4
10,0,122,122,122,27.500,315.000,4
11,0,116,116,116,27.500,290.000,4
12,0,136,136,136,27.500,268.000,4
13,0,113,113,113,28.500,244.000,4
14,0,106,106,106,29.500,222.000,4
15,0,106,106,106,30.500,207.000,4
16,0,106,106,106,30.500,186.000,4
17,0,106,106,106,31.500,163.000,4
18,0,99,99,99,32.500,142.000,4
19,0,87,87,87,33.500,118.000,4
20,0,76,76,76,34.500,95.000,4
21,0,31,31,31,36.500,75.000,4
22,0,107,107,107,35.500,54.000,4
23,0,72,72,72,36.500,39.000,4
24,0,106,106,106,37.500,21.000,4
25,0,150,150,150,38.500,9.000,4
26,0,129,129,129,253.500,482.000,4
27,0,130,130,130,253.500,464.000,4
28,0,128,128,128,255.500,446.000,4
29,0,128,128,128,256.500,423.000,4
30,0,128,128,128,257.500,405.000,4
31,0,128,128,128,257.500,385.000,4
32,0,200,200,200,257.500,361.000,4
33,0,122,122,122,259.500,343.000,4
34,0,122,122,122,259.500,323.000,4
35,0,119,119,119,260.500,305.000,4
36,0,115,115,115,261.500,284.000,4
37,0,115,115,115,262.500,263.000,4
38,0,115,115,115,262.500,242.000,4
39,0,108,108,108,263.500,221.000,4
40,0,108,108,108,264.500,198.000,4
41,0,103,103,103,264.500,173.000,4
42,0,103,103,103,265.500,151.000,4
43,0,96,96,96,266.500,129.000,4
44,0,88,88,88,267.500,107.000,4
45,0,54,54,54,268.500,85.000,4
46,0,94,94,94,268.500,63.000,4
47,0,68,68,68,270.500,38.000,4
48,0,75,75,75,271.500,19.000,4
49,0,100,100,100,272.500,7.000,4
50,0,194,194,194,466.500,484.000,4
51,0,212,212,212,468.500,474.000,4
52,0,212,212,212,469.500,460.000,4
53,0,126,126,126,471.500,442.000,4
54,0,132,132,132,471.500,426.000,4
55,0,128,128,128,472.500,406.000,4
56,0,128,128,128,473.500,390.000,4
57,0,125,125,125,474.500,369.000,4
58,0,128,128,128,474.500,348.000,4
59,0,125,125,125,475.500,328.000,4
60,0,192,192,192,475.500,304.000,4
61,0,116,116,116,476.500,285.000,4
62,0,115,115,115,477.500,262.000,4
63,0,113,113,113,478.500,240.000,4
64,0,171,171,171,478.500,215.000,4
65,0,112,112,112,479.500,193.000,4
66,0,100,100,100,480.500,168.000,4
67,0,99,99,99,482.500,143.000,4
68,0,95,95,95,482.500,124.000,4
69,0,86,86,86,482.500,107.000,4
70,0,61,61,61,483.500,93.000,4
71,0,55,55,55,484.500,73.000,4
72,0,67,67,67,485.500,54.000,4
73,0,74,74,74,486.500,33.000,4
74,0,74,74,74,487.500,19.000,4
75,0,81,81,81,487.500,12.000,4
76,0,201,201,201,694.500,486.000,4
77,0,129,129,129,696.500,477.000,4
78,0,129,129,129,697.500,463.000,4
79,0,131,131,131,698.500,448.000,4
80,0,124,124,124,698.500,432.000,4
81,0,127,127,127,699.500,419.000,4
82,0,159,159,159,699.500,401.000,4
83,0,128,128,128,700.500,394.000,4
84,0,124,124,124,701.500,373.000,4
85,0,122,122,122,701.500,354.000,4
86,0,205,205,205,701.500,336.000,4
87,0,122,122,122,702.500,323.000,4
88,0,115,115,115,703.500,305.000,4
89,0,115,115,115,704.500,290.000,4
90,0,108,108,108,704.500,272.000,4
91,0,113,113,113,705.500,248.500,4
92,0,106,106,106,705.500,225.500,4
93,0,106,106,106,706.500,209.500,4
94,0,103,103,103,706.500,189.500,4
95,0,101,101,101,707.500,176.500,4
96,0,102,102,102,707.500,160.500,4
97,0,100,100,100,708.500,150.500,4
98,0,206,206,206,707.500,131.500,4
99,0,81,81,81,709.500,110.500,4
100,0,161,161,161,709.500,90.500,4
101,0,30,30,30,710.500,76.500,4
102,0,202,202,202,710.500,57.500,4
103,0,86,86,86,711.500,45.500,4
104,0,68,68,68,712.500,33.500,4
105,0,68,68,68,713.500,19.500,4
106,0,104,104,104,713.500,10.500,4
107,0,188,188,188,837.500,482.500,4
108,0,128,128,128,839.500,472.500,4
109,0,129,129,129,841.500,459.500,4
110,0,128,128,128,841.500,445.500,4
111,0,126,126,126,841.500,427.500,4
112,0,128,128,128,842.500,410.500,4
113,0,126,126,126,842.500,397.500,4
114,0,125,125,125,843.500,377.500,4
115,0,120,120,120,844.500,356.500,4
116,0,128,128,128,844.500,337.500,4
117,0,121,121,121,845.500,322.500,4
118,0,122,122,122,845.500,303.500,4
119,0,115,115,115,846.500,290.500,4
120,0,114,114,114,846.500,269.500,4
121,0,108,108,108,847.500,255.500,4
122,0,114,114,114,847.500,233.500,4
123,0,101,101,101,848.500,218.500,4
124,0,106,106,106,849.500,199.500,4
125,0,101,101,101,849.500,183.500,4
126,0,95,95,95,850.500,166.500,4
127,0,100,100,100,850.500,147.500,4
128,0,94,94,94,851.500,127.500,4
129,0,84,84,84,852.500,109.500,4
130,0,65,65,65,852.500,93.500,4
131,0,92,92,92,852.500,77.500,4
132,0,52,52,52,853.500,62.500,4
133,0,74,74,74,854.500,45.500,4
134,0,68,68,68,855.500,28.500,4
135,0,146,146,146,855.500,16.500,4
136,0,119,119,119,1000.500,479.500,4
137,0,121,121,121,1001.500,467.500,4
138,0,122,122,122,1002.500,444.500,4
139,0,135,135,135,1002.500,424.500,4
140,0,120,120,120,1003.500,401.500,4
141,0,115,115,115,1004.500,382.500,4
142,0,115,115,115,1005.500,362.500,4
143,0,118,118,118,1006.500,342.500,4
