 ,Area,Mean,Min,Max,X,Y
1,0,188,188,188,280.000,52.000
2,0,222,222,222,282.167,75.500
3,0,180,180,180,280.833,64.167
4,0,215,215,215,281.833,86.833
5,0,196,196,196,282.500,98.833
6,0,100,100,100,282.167,109.167
7,0,170,170,170,282.833,118.167
8,0,115,115,115,283.167,128.167
9,0,202,202,202,283.500,137.833
10,0,178,178,178,283.500,150.167
11,0,198,198,198,284.500,162.500
12,0,201,201,201,284.500,172.833
13,0,149,149,149,285.167,186.167
14,0,196,196,196,285.833,195.167
15,0,189,189,189,286.167,210.500
16,0,194,194,194,286.833,224.833
17,0,196,196,196,287.167,239.500
18,0,197,197,197,286.833,255.167
19,0,188,188,188,287.500,270.167
20,0,197,197,197,287.833,281.833
21,0,184,184,184,288.833,295.833
22,0,183,183,183,289.167,310.167
23,0,189,189,189,288.833,322.500
24,0,189,189,189,289.833,336.167
25,0,197,197,197,290.500,347.167
26,0,181,181,181,289.833,359.833
27,0,204,204,204,290.500,372.833
28,0,196,196,196,290.500,382.833
29,0,196,196,196,290.833,394.500
30,0,135,135,135,290.833,408.500
31,0,200,200,200,291.833,423.500
32,0,135,135,135,291.167,437.833
33,0,202,202,202,292.500,452.167
34,0,201,201,201,292.500,466.833
35,0,188,188,188,293.500,476.833
36,0,190,190,190,293.833,491.167
37,0,181,181,181,294.167,504.500
38,0,128,128,128,294.167,517.500
39,0,122,122,122,294.167,528.833
40,0,150,150,150,295.167,538.833
41,0,190,190,190,295.500,548.500
42,0,166,166,166,295.500,562.167
43,0,115,115,115,296.167,573.833
44,0,108,108,108,296.167,582.833
45,0,156,156,156,520.500,83.500
46,0,170,170,170,521.833,99.167
47,0,97,97,97,521.833,113.833
48,0,102,102,102,521.833,126.833
49,0,217,217,217,523.500,143.167
50,0,211,211,211,524.500,156.500
51,0,135,135,135,524.167,174.167
52,0,205,205,205,524.833,188.500
53,0,140,140,140,525.167,201.500
54,0,213,213,213,526.167,216.167
55,0,180,180,180,526.167,230.833
56,0,140,140,140,526.167,244.500
57,0,214,214,214,526.833,261.167
58,0,195,195,195,528.167,279.500
59,0,140,140,140,527.167,295.167
60,0,142,142,142,527.833,312.500
61,0,196,196,196,528.500,330.167
62,0,196,196,196,529.167,345.833
63,0,184,184,184,529.500,364.500
64,0,193,193,193,529.833,379.167
65,0,133,133,133,529.833,392.833
66,0,164,164,164,530.500,407.500
67,0,184,184,184,530.500,419.833
68,0,187,187,187,531.500,436.167
69,0,190,190,190,531.500,449.500
70,0,157,157,157,531.500,465.833
71,0,122,122,122,532.167,480.167
72,0,122,122,122,532.167,494.833
73,0,184,184,184,533.833,510.833
74,0,209,209,209,533.833,525.167
75,0,137,137,137,534.167,537.500
76,0,194,194,194,534.500,551.500
77,0,160,160,160,535.167,563.833
78,0,189,189,189,535.500,575.167
79,0,179,179,179,536.167,586.833
80,0,194,194,194,704.833,51.833
81,0,177,177,177,705.167,64.500
82,0,170,170,170,706.167,80.167
83,0,114,114,114,706.167,97.500
84,0,200,200,200,706.500,110.833
85,0,202,202,202,706.500,126.833
86,0,129,129,129,707.167,139.833
87,0,203,203,203,707.500,153.833
88,0,189,189,189,707.833,168.167
89,0,208,208,208,708.833,180.500
90,0,203,203,203,708.833,194.167
91,0,193,193,193,708.833,208.167
92,0,214,214,214,709.500,220.833
93,0,211,211,211,710.167,233.167
94,0,142,142,142,709.167,243.833
95,0,172,172,172,710.167,255.167
96,0,212,212,212,710.500,268.500
97,0,207,207,207,710.500,282.833
98,0,196,196,196,710.833,295.500
99,0,188,188,188,712.500,312.500
100,0,140,140,140,711.167,328.833
101,0,143,143,143,711.833,346.833
102,0,198,198,198,712.833,362.833
103,0,199,199,199,712.500,380.833
104,0,198,198,198,713.833,400.500
105,0,192,192,192,714.167,416.500
106,0,172,172,172,714.167,432.500
107,0,128,128,128,714.167,449.833
108,0,199,199,199,715.167,466.833
109,0,192,192,192,716.167,481.500
110,0,187,187,187,716.167,499.833
111,0,178,178,178,716.500,512.167
112,0,191,191,191,716.500,526.833
113,0,122,122,122,716.833,540.500
114,0,184,184,184,717.833,552.500
115,0,178,178,178,718.167,563.500
116,0,178,178,178,719.833,570.833
117,0,160,160,160,923.500,114.000
118,0,167,167,167,924.500,136.000
119,0,118,118,118,923.500,160.000
120,0,180,180,180,924.000,185.000
121,0,137,137,137,924.500,205.500
122,0,173,173,173,925.000,227.000
123,0,171,171,171,926.000,254.500
124,0,135,135,135,926.500,281.500
125,0,142,142,142,927.500,301.000
126,0,143,143,143,928.500,329.500
127,0,139,139,139,929.000,352.000
128,0,132,132,132,929.500,370.500
129,0,131,131,131,930.000,393.500
130,0,123,123,123,931.000,421.000
131,0,192,192,192,932.500,447.000
132,0,122,122,122,932.000,468.500
133,0,115,115,115,933.000,491.000
134,0,163,163,163,934.000,515.500
135,0,194,194,194,935.500,533.000
136,0,108,108,108,933.500,550.500
137,0,108,108,108,935.000,568.000
138,0,108,108,108,935.000,580.500
139,0,84,84,84,1151.500,136.500
140,0,124,124,124,1152.500,161.000
141,0,187,187,187,1153.500,182.000
142,0,131,131,131,1154.000,204.500
143,0,140,140,140,1154.000,220.500
144,0,165,165,165,1153.500,243.000
145,0,129,129,129,1155.000,268.500
146,0,160,160,160,1155.500,293.000
147,0,141,141,141,1156.500,324.000
148,0,133,133,133,1157.000,355.000
149,0,133,133,133,1158.000,380.500
150,0,128,128,128,1158.000,404.000
151,0,175,175,175,1160.000,434.000
152,0,197,197,197,1160.500,449.500
153,0,122,122,122,1160.000,476.000
154,0,115,115,115,1160.500,493.000
155,0,153,153,153,1161.500,511.500
156,0,115,115,115,1161.500,523.500
157,0,115,115,115,1161.500,523.500
158,0,108,108,108,1162.000,542.000
159,0,118,118,118,1162.500,555.500
160,0,108,108,108,1162.500,569.000
161,0,139,139,139,1164.000,585.000
162,0,69,69,69,1345.833,79.833
163,0,74,74,74,1347.833,102.500
164,0,93,93,93,1349.167,129.167
165,0,155,155,155,1349.833,160.500
166,0,135,135,135,1349.833,187.833
167,0,142,142,142,1349.833,210.500
168,0,142,142,142,1350.500,240.500
169,0,135,135,135,1351.833,271.833
170,0,142,142,142,1353.167,297.167
171,0,135,135,135,1351.833,327.167
172,0,135,135,135,1353.833,353.167
173,0,135,135,135,1354.500,380.500
174,0,175,175,175,1355.833,412.500
175,0,175,175,175,1355.833,412.500
176,0,135,135,135,1355.833,435.167
177,0,122,122,122,1355.833,461.833
178,0,119,119,119,1356.500,485.833
179,0,168,168,168,1358.500,510.500
180,0,115,115,115,1357.167,533.833
181,0,109,109,109,1358.500,555.167
182,0,190,190,190,1359.833,574.500
