 ,Area,Mean,Min,Max,X,Y
1,0,191,191,191,170.500,41.500
2,0,193,193,193,171.865,55.025
3,0,140,140,140,172.887,67.288
4,0,213,213,213,174.591,83.298
5,0,213,213,213,175.500,99.500
6,0,213,213,213,176.975,113.275
7,0,213,213,213,177.997,125.197
8,0,213,213,213,178.678,139.845
9,0,213,213,213,179.700,153.471
10,0,222,222,222,180.722,168.800
11,0,223,223,223,182.085,182.425
12,0,211,211,211,183.107,196.732
13,0,208,208,208,183.788,210.431
14,0,208,208,208,184.810,225.760
15,0,208,208,208,185.832,239.045
16,0,208,208,208,186.854,252.330
17,0,208,208,208,188.216,265.275
18,0,208,208,208,189.579,279.241
19,0,202,202,202,190.260,291.164
20,0,202,202,202,190.601,303.086
21,0,204,204,204,192.304,315.009
22,0,202,202,202,192.985,326.250
23,0,202,202,202,194.007,337.491
24,0,202,202,202,195.029,348.232
25,0,198,198,198,196.392,359.474
26,0,196,196,196,197.073,370.374
27,0,176,176,176,198.095,381.616
28,0,149,149,149,199.458,393.197
29,0,190,190,190,200.820,404.098
30,0,196,196,196,202.864,415.339
31,0,209,209,209,204.908,425.899
32,0,208,208,208,207.292,435.778
33,0,195,195,195,209.336,444.975
34,0,193,193,193,211.721,454.173
35,0,164,164,164,216.149,460.985
36,0,166,166,166,222.621,463.711
37,0,214,214,214,545.500,12.000
38,0,199,199,199,547.000,39.000
39,0,210,210,210,548.500,68.500
40,0,204,204,204,549.500,93.500
41,0,211,211,211,551.000,119.500
42,0,211,211,211,552.000,150.500
43,0,210,210,210,553.500,172.000
44,0,202,202,202,555.000,198.500
45,0,203,203,203,556.000,225.000
46,0,208,208,208,557.000,251.500
47,0,199,199,199,558.500,279.000
48,0,199,199,199,559.500,301.000
49,0,199,199,199,560.500,321.500
50,0,192,192,192,562.000,344.000
51,0,179,179,179,563.000,368.500
52,0,192,192,192,565.000,393.500
53,0,194,194,194,566.500,416.500
54,0,184,184,184,568.500,438.000
55,0,192,192,192,570.000,460.000
56,0,191,191,191,572.500,480.000
57,0,191,191,191,575.000,499.000
58,0,196,196,196,578.500,517.000
59,0,200,200,200,582.500,530.000
60,0,210,210,210,799.000,30.000
61,0,217,217,217,801.000,47.000
62,0,217,217,217,802.000,66.000
63,0,217,217,217,803.500,85.500
64,0,208,208,208,804.500,108.000
65,0,208,208,208,805.500,128.000
66,0,215,215,215,806.500,144.000
67,0,208,208,208,807.500,164.500
68,0,186,186,186,808.500,186.500
69,0,191,191,191,809.000,207.500
70,0,191,191,191,810.000,227.500
71,0,198,198,198,811.000,248.500
72,0,197,197,197,812.500,268.500
73,0,191,191,191,813.000,287.000
74,0,179,179,179,814.000,307.500
75,0,173,173,173,815.500,330.000
76,0,174,174,174,816.500,353.500
77,0,175,175,175,817.500,378.500
78,0,175,175,175,819.000,399.000
79,0,172,172,172,820.500,417.500
80,0,175,175,175,821.500,436.500
81,0,178,178,178,822.500,455.500
82,0,175,175,175,824.000,478.500
83,0,153,153,153,825.000,497.500
84,0,175,175,175,827.000,513.500
85,0,176,176,176,828.500,532.000
86,0,178,178,178,830.500,550.000
87,0,186,186,186,833.500,566.500
88,0,187,187,187,838.500,579.500
89,0,134,134,134,842.500,583.500
90,0,176,176,176,1062.000,31.000
91,0,200,200,200,1063.000,53.000
92,0,214,214,214,1064.000,74.500
93,0,206,206,206,1066.000,94.000
94,0,206,206,206,1066.500,115.000
95,0,213,213,213,1067.500,137.000
96,0,205,205,205,1068.500,158.500
97,0,199,199,199,1070.000,179.500
98,0,194,194,194,1070.000,200.000
99,0,219,219,219,1071.500,223.500
100,0,188,188,188,1072.500,242.500
101,0,207,207,207,1072.500,260.000
102,0,193,193,193,1073.000,274.000
103,0,172,172,172,1074.500,294.500
104,0,189,189,189,1075.000,312.000
105,0,195,195,195,1076.000,327.500
106,0,174,174,174,1077.500,353.500
107,0,181,181,181,1078.500,376.000
108,0,164,164,164,1079.000,398.500
109,0,162,162,162,1080.500,421.500
110,0,160,160,160,1081.000,441.500
111,0,185,185,185,1083.000,462.500
112,0,188,188,188,1084.500,482.500
113,0,186,186,186,1085.500,502.500
114,0,198,198,198,1087.000,523.000
115,0,183,183,183,1088.500,541.500
116,0,196,196,196,1089.500,558.000
117,0,213,213,213,1091.500,580.500
118,0,205,205,205,1093.500,595.500
119,0,195,195,195,1095.500,613.000
120,0,116,116,116,1097.000,618.000
121,0,186,186,186,1420.500,32.500
122,0,184,184,184,1423.167,60.167
123,0,115,115,115,1424.500,90.167
124,0,135,135,135,1425.833,112.833
125,0,161,161,161,1427.833,138.833
126,0,147,147,147,1429.167,165.500
127,0,197,197,197,1431.167,196.833
128,0,185,185,185,1432.500,219.500
129,0,165,165,165,1432.500,241.500
130,0,142,142,142,1433.833,264.833
131,0,135,135,135,1435.167,294.833
132,0,191,191,191,1437.833,322.833
133,0,178,178,178,1438.500,353.500
134,0,179,179,179,1441.167,384.833
135,0,135,135,135,1441.833,420.167
136,0,179,179,179,1443.833,447.500
137,0,168,168,168,1446.500,479.500
138,0,189,189,189,1448.500,506.833
139,0,173,173,173,1450.500,536.833
140,0,196,196,196,1451.833,564.833
141,0,195,195,195,1454.500,589.500
142,0,210,210,210,1456.500,615.500
143,0,148,148,148,1457.167,625.500
144,0,219,219,219,1859.833,28.833
145,0,216,216,216,1861.167,48.167
146,0,200,200,200,1861.833,69.500
147,0,227,227,227,1863.833,92.833
148,0,221,221,221,1864.500,113.500
149,0,205,205,205,1865.167,134.167
150,0,225,225,225,1867.167,161.500
151,0,161,161,161,1866.500,184.500
152,0,136,136,136,1867.000,206.000
153,0,202,202,202,1868.500,226.500
154,0,135,135,135,1869.000,249.000
155,0,137,137,137,1871.500,295.000
156,0,175,175,175,1871.000,271.500
157,0,206,206,206,1873.500,318.500
158,0,200,200,200,1874.500,346.000
159,0,185,185,185,1875.500,372.000
160,0,199,199,199,1878.000,399.000
161,0,192,192,192,1879.000,421.500
162,0,174,174,174,1879.500,446.500
163,0,192,192,192,1882.000,472.500
164,0,154,154,154,1883.000,497.000
165,0,199,199,199,1885.500,519.000
166,0,199,199,199,1887.000,537.500
167,0,211,211,211,1888.500,560.000
168,0,192,192,192,1891.500,580.500
169,0,207,207,207,1895.500,599.000
170,0,124,124,124,1898.500,608.500
